Driver,FinishPosition,GridPosition,Team,AvgLapTime,BestLapTime,LapTimeStd,TotalLaps,PitStops,InPoints,PositionDelta
VER,1.0,1.0,Red Bull Racing,81.44904225352113,76.604,6.91736179775543,71,1,1,0.0
ALO,2.0,2.0,Aston Martin,81.24415942028985,76.674,6.456060521673074,69,2,1,0.0
OCO,3.0,3.0,Alpine,80.86543076923077,76.528,5.575948164800174,65,2,1,0.0
HAM,4.0,5.0,Mercedes,81.21962121212121,75.65,6.074041849771363,66,2,1,1.0
RUS,5.0,8.0,Mercedes,81.64460869565218,76.798,6.347353599121137,69,1,1,3.0
LEC,6.0,6.0,Ferrari,81.65382089552239,75.773,6.519782732309898,67,2,1,0.0
GAS,7.0,7.0,Alpine,81.49780303030302,75.831,6.4044423433923425,66,2,1,0.0
SAI,8.0,4.0,Ferrari,81.84357352941177,76.449,6.84960365628874,68,2,1,-4.0
NOR,9.0,10.0,McLaren,82.51526470588234,77.844,6.5097436421946675,68,2,1,1.0
PIA,10.0,11.0,McLaren,82.499115942029,77.513,6.403801498595869,69,1,1,1.0
BOT,11.0,15.0,Alfa Romeo,83.05220588235295,77.824,6.622866641719043,68,1,0,4.0
DEV,12.0,12.0,AlphaTauri,82.29277272727273,77.561,5.794303363703809,66,1,0,0.0
ZHO,13.0,19.0,Alfa Romeo,81.69648387096774,76.926,5.399667982330736,62,2,0,6.0
ALB,14.0,13.0,Williams,83.01175757575757,76.672,6.621809074357962,66,2,0,-1.0
TSU,15.0,9.0,AlphaTauri,81.74350793650794,77.68,6.21444682580377,63,1,0,-6.0
PER,16.0,20.0,Red Bull Racing,82.36337704918033,76.269,7.2333948856765184,61,5,0,4.0
HUL,17.0,18.0,Haas F1 Team,83.12996923076923,76.991,7.277210602647706,65,3,0,1.0
SAR,18.0,16.0,Williams,83.18818032786886,77.302,6.864542896916484,61,3,0,-2.0
MAG,19.0,17.0,Haas F1 Team,81.75650877192983,78.351,6.275999983277581,57,2,0,-2.0
STR,20.0,14.0,Aston Martin,80.09374509803922,77.769,3.770526917252478,51,1,0,-6.0
